Image ID (name)	Predicted Label
cat		cat
ship		ship
ship		ship
plane		plane
frog		frog
frog		frog
car		car
frog		frog
cat		cat
car		car
plane		plane
truck		truck
dog		dog
horse		horse
truck		truck
ship		ship
dog		dog
horse		truck
ship		ship
frog		frog
horse		horse
plane		bird
deer		deer
truck		truck
dog		deer
bird		bird
deer		deer
plane		plane
truck		truck
frog		frog
frog		frog
dog		dog
deer		deer
dog		dog
truck		truck
bird		dog
deer		deer
car		truck
truck		truck
dog		dog
deer		deer
frog		frog
dog		horse
frog		frog
plane		plane
truck		truck
cat		cat
truck		truck
horse		horse
frog		bird
truck		truck
ship		ship
plane		horse
cat		cat
ship		ship
ship		ship
horse		horse
horse		dog
deer		cat
frog		cat
horse		horse
cat		dog
frog		frog
cat		plane
frog		frog
bird		bird
car		car
bird		bird
cat		cat
horse		horse
bird		bird
frog		frog
ship		ship
ship		ship
plane		plane
bird		bird
truck		truck
cat		cat
cat		dog
ship		ship
ship		ship
car		car
car		car
horse		horse
bird		bird
dog		truck
bird		bird
horse		horse
ship		ship
truck		truck
plane		plane
cat		ship
ship		ship
frog		frog
deer		deer
frog		cat
frog		deer
plane		plane
plane		plane
horse		deer
deer		deer
dog		deer
frog		frog
cat		cat
car		car
car		car
cat		cat
frog		frog
ship		ship
horse		dog
deer		deer
plane		plane
frog		frog
bird		bird
car		car
cat		cat
plane		plane
deer		deer
bird		cat
horse		dog
ship		ship
cat		cat
car		car
bird		bird
ship		ship
plane		bird
ship		ship
cat		cat
dog		cat
bird		bird
deer		deer
car		car
ship		ship
truck		truck
car		car
bird		bird
truck		truck
horse		horse
bird		bird
truck		ship
frog		cat
dog		dog
frog		cat
cat		cat
ship		ship
horse		truck
frog		frog
bird		dog
dog		cat
bird		cat
ship		ship
truck		truck
frog		frog
plane		plane
plane		plane
dog		frog
bird		bird
truck		truck
dog		cat
deer		deer
bird		plane
car		car
frog		frog
frog		frog
ship		plane
deer		deer
ship		ship
deer		deer
dog		dog
plane		plane
truck		truck
truck		truck
truck		truck
ship		ship
truck		truck
truck		truck
cat		cat
horse		horse
dog		dog
plane		plane
plane		plane
dog		dog
bird		bird
bird		bird
cat		plane
ship		ship
frog		frog
cat		cat
deer		cat
plane		plane
dog		frog
ship		ship
plane		deer
car		car
horse		bird
bird		frog
ship		ship
ship		ship
horse		horse
ship		ship
dog		dog
car		plane
ship		ship
horse		horse
car		car
cat		cat
plane		plane
dog		dog
horse		horse
truck		truck
horse		dog
deer		truck
dog		cat
truck		truck
ship		ship
plane		cat
horse		deer
truck		truck
ship		ship
bird		bird
horse		horse
frog		horse
truck		truck
deer		deer
cat		cat
truck		truck
frog		deer
deer		plane
horse		cat
frog		frog
dog		dog
car		car
dog		cat
ship		car
ship		ship
plane		plane
deer		deer
plane		plane
dog		dog
dog		dog
car		car
car		car
ship		ship
truck		truck
plane		plane
cat		bird
car		car
truck		ship
bird		bird
bird		plane
dog		horse
cat		dog
truck		truck
truck		truck
deer		bird
plane		plane
cat		cat
plane		plane
plane		plane
truck		car
ship		ship
car		car
dog		cat
horse		cat
plane		plane
ship		ship
bird		bird
deer		deer
horse		horse
plane		plane
bird		dog
cat		cat
frog		frog
cat		cat
ship		ship
dog		bird
plane		plane
cat		bird
deer		horse
cat		horse
truck		truck
plane		plane
frog		frog
car		car
plane		truck
truck		truck
car		car
plane		ship
horse		horse
truck		truck
car		car
bird		bird
frog		frog
truck		car
cat		cat
deer		deer
frog		frog
plane		plane
plane		plane
frog		frog
frog		frog
frog		frog
cat		dog
bird		bird
frog		frog
car		car
ship		ship
bird		bird
car		car
frog		deer
ship		ship
frog		frog
ship		plane
plane		plane
deer		cat
plane		plane
horse		horse
horse		horse
dog		dog
dog		dog
cat		cat
dog		cat
bird		bird
cat		bird
deer		deer
car		car
horse		horse
dog		dog
deer		deer
frog		frog
car		car
truck		truck
cat		cat
frog		frog
frog		frog
truck		truck
cat		cat
ship		ship
plane		plane
horse		horse
bird		bird
frog		frog
bird		plane
dog		dog
ship		plane
dog		dog
deer		horse
frog		frog
ship		ship
truck		truck
truck		truck
car		car
plane		ship
bird		bird
bird		bird
horse		deer
cat		dog
bird		bird
ship		car
plane		plane
truck		truck
dog		dog
ship		ship
car		ship
truck		truck
deer		deer
car		car
cat		bird
ship		deer
car		car
deer		bird
horse		horse
truck		truck
deer		deer
bird		bird
horse		horse
plane		truck
horse		horse
plane		ship
frog		frog
frog		frog
truck		truck
plane		plane
truck		truck
bird		dog
ship		ship
horse		horse
bird		deer
bird		dog
dog		dog
car		car
bird		bird
frog		frog
bird		cat
truck		truck
frog		frog
bird		deer
cat		horse
plane		plane
cat		plane
truck		truck
ship		car
horse		horse
ship		ship
ship		ship
deer		deer
plane		plane
car		car
ship		ship
bird		bird
horse		horse
truck		truck
cat		dog
frog		frog
car		car
truck		truck
plane		deer
horse		bird
cat		cat
horse		horse
deer		deer
dog		horse
plane		plane
plane		plane
bird		bird
truck		truck
cat		frog
deer		deer
plane		truck
frog		frog
bird		cat
dog		cat
cat		ship
horse		horse
cat		cat
horse		horse
bird		frog
dog		bird
cat		dog
car		car
car		car
deer		deer
truck		truck
truck		truck
dog		cat
horse		horse
dog		dog
plane		plane
bird		bird
bird		plane
bird		truck
truck		truck
horse		horse
cat		bird
truck		truck
deer		deer
cat		deer
dog		horse
deer		deer
frog		truck
dog		dog
frog		frog
car		car
deer		deer
cat		truck
deer		deer
deer		deer
cat		dog
horse		bird
ship		ship
cat		cat
horse		bird
ship		ship
plane		plane
dog		dog
horse		horse
frog		frog
plane		plane
dog		dog
deer		deer
ship		ship
frog		frog
ship		ship
dog		car
dog		dog
truck		plane
truck		truck
truck		truck
dog		cat
plane		plane
car		car
plane		plane
ship		ship
car		car
car		car
ship		ship
plane		plane
bird		dog
bird		plane
plane		plane
deer		deer
frog		frog
dog		cat
deer		deer
truck		truck
deer		deer
horse		horse
truck		truck
truck		truck
deer		deer
dog		dog
frog		frog
frog		frog
car		car
dog		dog
cat		cat
ship		ship
truck		truck
dog		cat
ship		ship
dog		dog
horse		horse
plane		plane
horse		horse
plane		plane
dog		frog
plane		deer
plane		plane
deer		horse
frog		frog
truck		truck
plane		truck
truck		truck
dog		dog
frog		frog
frog		frog
frog		frog
bird		bird
truck		truck
plane		plane
car		car
horse		deer
frog		frog
horse		horse
dog		dog
truck		truck
car		car
frog		cat
bird		bird
dog		dog
dog		dog
dog		bird
ship		ship
dog		dog
truck		truck
deer		deer
frog		cat
deer		deer
cat		cat
bird		bird
plane		plane
horse		horse
frog		frog
bird		deer
bird		bird
cat		dog
truck		truck
horse		deer
truck		truck
bird		deer
frog		frog
horse		horse
car		car
cat		cat
frog		frog
frog		frog
ship		ship
truck		ship
horse		horse
dog		dog
deer		deer
plane		cat
ship		ship
deer		bird
plane		plane
truck		truck
cat		cat
deer		deer
ship		ship
truck		truck
frog		frog
truck		truck
bird		bird
frog		frog
car		car
deer		deer
horse		horse
cat		bird
dog		dog
cat		cat
ship		ship
dog		dog
plane		plane
bird		bird
car		car
frog		frog
deer		cat
cat		dog
cat		cat
truck		truck
frog		frog
truck		truck
ship		ship
ship		ship
dog		dog
ship		ship
frog		frog
frog		cat
bird		horse
car		car
horse		horse
horse		car
car		car
bird		bird
horse		horse
truck		truck
truck		truck
deer		deer
deer		deer
car		car
bird		frog
dog		bird
frog		frog
ship		ship
horse		horse
frog		frog
ship		ship
cat		cat
plane		plane
dog		dog
dog		dog
cat		ship
plane		bird
horse		horse
truck		truck
car		car
cat		frog
deer		dog
deer		deer
dog		dog
cat		cat
truck		truck
dog		dog
frog		frog
truck		truck
bird		deer
car		car
car		car
deer		deer
car		car
truck		truck
deer		deer
horse		horse
frog		frog
cat		cat
ship		bird
truck		truck
plane		plane
car		car
cat		bird
frog		frog
cat		cat
frog		deer
cat		cat
bird		cat
plane		horse
cat		cat
car		truck
plane		plane
dog		dog
truck		car
frog		frog
deer		deer
ship		plane
truck		truck
frog		bird
truck		truck
frog		frog
cat		frog
plane		plane
cat		deer
bird		bird
bird		plane
horse		horse
ship		ship
cat		cat
ship		plane
bird		plane
horse		horse
dog		dog
horse		horse
bird		plane
deer		deer
ship		ship
horse		horse
deer		deer
bird		bird
truck		cat
ship		ship
ship		ship
frog		bird
ship		plane
ship		ship
horse		horse
deer		deer
cat		dog
cat		cat
ship		ship
deer		deer
truck		truck
deer		horse
ship		ship
ship		ship
car		car
ship		ship
bird		ship
car		car
cat		cat
frog		frog
dog		cat
deer		deer
bird		plane
horse		horse
truck		truck
truck		ship
deer		deer
car		car
deer		deer
car		car
cat		deer
bird		dog
horse		horse
plane		plane
horse		horse
truck		cat
horse		horse
frog		frog
frog		frog
bird		bird
dog		cat
truck		truck
bird		bird
truck		truck
car		car
bird		bird
bird		deer
frog		frog
ship		ship
bird		bird
car		car
cat		cat
frog		dog
frog		frog
plane		plane
car		car
bird		bird
horse		cat
plane		truck
dog		bird
deer		deer
frog		truck
car		truck
frog		frog
deer		deer
